G0119	134500.0	2997500.0	1
G0120	153500.0	2997500.0	1
G0121	164500.0	2997500.0	5
G0122	165500.0	2997500.0	5
G0123	166500.0	2997500.0	1
G0124	167500.0	2997500.0	4
G0125	168500.0	2997500.0	6
G0126	169500.0	2997500.0	3
G0127	172500.0	2997500.0	2
G0128	264500.0	2997500.0	2
G0129	265500.0	2997500.0	5
G0130	267500.0	2997500.0	3
G0131	268500.0	2997500.0	2
G0132	269500.0	2997500.0	4
G0133	374500.0	2997500.0	1
G0134	375500.0	2997500.0	1
G0135	379500.0	2997500.0	2
G0136	107500.0	2998500.0	2
G0137	111500.0	2998500.0	2
G0138	112500.0	2998500.0	1
G0139	134500.0	2998500.0	3
G0140	172500.0	2998500.0	2
G0141	173500.0	2998500.0	2
G0142	264500.0	2998500.0	1
G0143	265500.0	2998500.0	2
G0144	266500.0	2998500.0	1
G0145	374500.0	2998500.0	1
G0146	379500.0	2998500.0	4
G0147	380500.0	2998500.0	8
G0148	111500.0	2999500.0	3
G0149	132500.0	2999500.0	5
G0150	133500.0	2999500.0	3
G0151	134500.0	2999500.0	7
G0152	135500.0	2999500.0	2
G0153	152500.0	2999500.0	3
G0154	158500.0	2999500.0	2
G0155	170500.0	2999500.0	1
G0156	171500.0	2999500.0	5
G0157	172500.0	2999500.0	2
G0158	173500.0	2999500.0	3
G0159	174500.0	2999500.0	5
G0160	378500.0	2999500.0	2
G0161	379500.0	2999500.0	1
G0162	110500.0	3000500.0	4
G0163	111500.0	3000500.0	1
G0164	113500.0	3000500.0	2
G0165	114500.0	3000500.0	3
G0166	115500.0	3000500.0	2
G0167	153500.0	3000500.0	4
G0168	158500.0	3000500.0	4
G0169	174500.0	3000500.0	2
G0170	288500.0	3000500.0	4
G0171	403500.0	3000500.0	10
G0172	108500.0	3001500.0	2
G0173	109500.0	3001500.0	3
G0174	111500.0	3001500.0	3
G0175	112500.0	3001500.0	3
G0176	113500.0	3001500.0	1
G0177	153500.0	3001500.0	2
G0178	158500.0	3001500.0	4
G0179	185500.0	3001500.0	3
G0180	288500.0	3001500.0	2
G0181	403500.0	3001500.0	14
G0182	404500.0	3001500.0	4
G0183	107500.0	3002500.0	1
G0184	108500.0	3002500.0	1
G0185	138500.0	3002500.0	2
G0186	139500.0	3002500.0	5
G0187	159500.0	3002500.0	4
G0188	160500.0	3002500.0	2
G0189	183500.0	3002500.0	2
G0190	184500.0	3002500.0	3
G0191	185500.0	3002500.0	4
G0192	191500.0	3002500.0	1
G0193	194500.0	3002500.0	1
G0194	287500.0	3002500.0	3
G0195	357500.0	3002500.0	1
G0196	403500.0	3002500.0	2
G0197	404500.0	3002500.0	8
G0198	106500.0	3003500.0	3
G0199	107500.0	3003500.0	1
G0200	114500.0	3003500.0	1
G0201	115500.0	3003500.0	5
G0202	137500.0	3003500.0	4
G0203	160500.0	3003500.0	4
G0204	183500.0	3003500.0	5
G0205	184500.0	3003500.0	1
G0206	185500.0	3003500.0	1
G0207	191500.0	3003500.0	4
G0208	194500.0	3003500.0	2
G0209	195500.0	3003500.0	3
G0210	286500.0	3003500.0	1
G0211	287500.0	3003500.0	2
G0212	288500.0	3003500.0	2
G0213	403500.0	3003500.0	6
G0214	98500.0	3004500.0	1
G0215	105500.0	3004500.0	1
G0216	159500.0	3004500.0	1
G0217	160500.0	3004500.0	7
G0218	191500.0	3004500.0	1
G0219	192500.0	3004500.0	3
G0220	196500.0	3004500.0	4
G0221	219500.0	3004500.0	1
G0222	221500.0	3004500.0	1
G0223	286500.0	3004500.0	1
G0224	98500.0	3005500.0	2
G0225	159500.0	3005500.0	1
G0226	160500.0	3005500.0	3
G0227	170500.0	3005500.0	7
G0228	192500.0	3005500.0	5
G0229	197500.0	3005500.0	4
G0230	221500.0	3005500.0	1
G0231	222500.0	3005500.0	2
G0232	307500.0	3005500.0	3
G0233	308500.0	3005500.0	1
G0234	311500.0	3005500.0	3
G0235	99500.0	3006500.0	3
G0236	152500.0	3006500.0	3
G0237	153500.0	3006500.0	6
G0238	154500.0	3006500.0	6
G0239	155500.0	3006500.0	1
G0240	160500.0	3006500.0	1
G0241	181500.0	3006500.0	2
G0242	182500.0	3006500.0	1
G0243	183500.0	3006500.0	2
G0244	184500.0	3006500.0	2
G0245	188500.0	3006500.0	1
G0246	193500.0	3006500.0	1
G0247	197500.0	3006500.0	4
G0248	222500.0	3006500.0	1
G0249	287500.0	3006500.0	1
G0250	288500.0	3006500.0	1
G0251	307500.0	3006500.0	5
G0252	310500.0	3006500.0	2
G0253	311500.0	3006500.0	1
G0254	315500.0	3006500.0	3
G0255	316500.0	3006500.0	3
G0256	353500.0	3006500.0	1
G0257	355500.0	3006500.0	1
G0258	100500.0	3007500.0	3
G0259	103500.0	3007500.0	5
G0260	104500.0	3007500.0	2
G0261	105500.0	3007500.0	1
G0262	121500.0	3007500.0	5
G0263	122500.0	3007500.0	4
G0264	123500.0	3007500.0	2
G0265	152500.0	3007500.0	10
G0266	153500.0	3007500.0	3
G0267	155500.0	3007500.0	1
G0268	181500.0	3007500.0	3
G0269	188500.0	3007500.0	2
G0270	189500.0	3007500.0	3
G0271	193500.0	3007500.0	5
G0272	197500.0	3007500.0	3
G0273	288500.0	3007500.0	2
G0274	311500.0	3007500.0	1
G0275	350500.0	3007500.0	3
G0276	352500.0	3007500.0	3
G0277	353500.0	3007500.0	5
G0278	354500.0	3007500.0	3
G0279	355500.0	3007500.0	5
G0280	356500.0	3007500.0	4
G0281	101500.0	3008500.0	2
G0282	102500.0	3008500.0	6
G0283	103500.0	3008500.0	2
G0284	106500.0	3008500.0	2
G0285	107500.0	3008500.0	1
G0286	118500.0	3008500.0	1
G0287	119500.0	3008500.0	7
G0288	120500.0	3008500.0	3
G0289	121500.0	3008500.0	5
G0290	122500.0	3008500.0	5
G0291	123500.0	3008500.0	4
G0292	180500.0	3008500.0	1
G0293	193500.0	3008500.0	1
G0294	310500.0	3008500.0	1
G0295	351500.0	3008500.0	4
G0296	352500.0	3008500.0	1
G0297	376500.0	3008500.0	2
G0298	377500.0	3008500.0	2
G0299	102500.0	3009500.0	3
G0300	106500.0	3009500.0	3
G0301	118500.0	3009500.0	1
G0302	119500.0	3009500.0	3
G0303	120500.0	3009500.0	1
G0304	121500.0	3009500.0	2
G0305	122500.0	3009500.0	1
G0306	123500.0	3009500.0	2
G0307	124500.0	3009500.0	2
G0308	303500.0	3009500.0	1
G0309	310500.0	3009500.0	6
G0310	377500.0	3009500.0	3
G0311	102500.0	3010500.0	1
G0312	106500.0	3010500.0	1
G0313	121500.0	3010500.0	1
G0314	122500.0	3010500.0	3
G0315	124500.0	3010500.0	2
G0316	178500.0	3010500.0	3
G0317	179500.0	3010500.0	5
G0318	194500.0	3010500.0	1
G0319	244500.0	3010500.0	3
G0320	302500.0	3010500.0	3
G0321	303500.0	3010500.0	3
G0322	304500.0	3010500.0	2
G0323	377500.0	3010500.0	2
G0324	390500.0	3010500.0	2
G0325	391500.0	3010500.0	3
G0326	102500.0	3011500.0	3
