IND_ID,Lab_ID,Sample_ID,Sample,Recapture,Detection_index,N_detections_individual,Individual_recaptured,longitude,latitude,Sex,Sex_status,Sample_sex,Sex_source_match,assignment,Coordinate_source,All_data_Recapture,All_data_Detection_index,.row,.lon,.lat,.id,.occ,col,row,grid_id,.idx,x,y,n_points,.clust,.id_final,.keep,Final_ID,Source_IND_ID
IND252,MT-7494,BRP_PA-01/64,MT-7494,0,1,1,0,89.180822,27.148841,U,no_sex_call,NA,matched_no_sex_call,original_pipeline,locations.csv,0,1,339,89.180822,27.148841,IND252,1,23,34,G0289,308,121500,3008500,5,1,IND252,TRUE,IND252,IND252
IND253,MT-7495,BRP_PA-01/65,MT-7495,0,1,1,0,89.180525,27.148738,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,0,1,340,89.180525,27.148738,IND253,1,23,34,G0289,309,121500,3008500,5,1,IND253,TRUE,IND253,IND253
IND254,MT-7496,BRP_PA-01/66,MT-7496,0,1,1,0,89.106303,27.040459,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,0,1,341,89.106303,27.040459,IND254,1,15,22,G0086,310,113500,2996500,3,1,IND254,TRUE,IND254,IND254
IND255,MT-7497,BRP_PA-01/67,MT-7497,0,1,1,0,89.106301,27.040295,M,consistent_available_calls,M,matched_sex_call,original_pipeline,locations.csv,0,1,342,89.106301,27.040295,IND255,1,15,22,G0086,311,113500,2996500,3,1,IND255,TRUE,IND255,IND255
IND256,MT-7502,BRP_PA-01/72,MT-7502,0,1,6,1,89.181051,27.149247,U,no_sex_call,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,0,1,343,89.181051,27.149247,IND256,1,23,34,G0289,312,121500,3008500,5,1,IND256,TRUE,IND256,IND256
IND256,MT-7504,BRP_PA-01/74,MT-7504,1,2,6,1,89.180416,27.148727,U,no_sex_call,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,2,344,89.180416,27.148727,IND256,1,23,34,G0289,313,121500,3008500,5,1,IND256,TRUE,IND256,IND256
IND256,MT-7506,BRP_PA-01/76,MT-7506,1,3,6,1,89.106303,27.040459,U,no_sex_call,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,3,345,89.106303,27.040459,IND256,1,15,22,G0086,314,113500,2996500,3,2,IND256,TRUE,IND256,IND256
IND256,MT-7507,BRP_PA-01/77,MT-7507,1,4,6,1,89.106301,27.040295,U,no_sex_call,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,4,346,89.106301,27.040295,IND256,1,15,22,G0086,315,113500,2996500,3,2,IND256,TRUE,IND256,IND256
IND256,MT-7510,BRP_PA-01/80,MT-7510,1,5,6,1,89.200772,27.216804,U,no_sex_call,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,5,347,89.200772,27.216804,IND256,1,25,42,G0431,316,123500,3016500,5,1,IND256,TRUE,IND256,IND256
IND256,MT-7511,BRP_PA-01/81,MT-7511,1,6,6,1,89.181051,27.149247,U,no_sex_call,NA,matched_no_sex_call,original_pipeline,locations.csv,1,6,348,89.181051,27.149247,IND256,1,23,34,G0289,317,121500,3008500,5,1,IND256,TRUE,IND256,IND256
IND257,MT-7508,BRP_PA-01/78,MT-7508,0,1,6,1,89.067319,27.178225,F,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,0,1,349,89.067319,27.178225,IND257,1,12,38,G0346,318,110500,3012500,6,1,IND257,TRUE,IND257,IND257
IND257,MT-7516,BRP_PA-01/86,MT-7516,1,2,6,1,89.067315,27.178233,F,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,2,350,89.067315,27.178233,IND257,1,12,38,G0346,319,110500,3012500,6,1,IND257,TRUE,IND257,IND257
IND257,MT-7517,BRP_PA-01/87,MT-7517,1,3,6,1,89.068544,27.181899,F,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,3,351,89.068544,27.181899,IND257,1,12,38,G0346,320,110500,3012500,6,1,IND257,TRUE,IND257,IND257
IND257,MT-7520,BRP_PA-01/90,MT-7520,1,4,6,1,89.066241,27.179406,F,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,4,352,89.066241,27.179406,IND257,1,12,38,G0346,321,110500,3012500,6,1,IND257,TRUE,IND257,IND257
IND257,MT-7523,BRP_06,MT-7523,1,5,6,1,91.01457375,27.1988517,F,consistent_available_calls,NA,lab_ID_not_in_sexing_file,original_pipeline,locations.csv,1,5,353,91.01457375,27.1988517,IND257,1,205,36,G0321,322,303500,3010500,3,2,IND257,TRUE,IND257,IND257
IND257,MT-7524,BRP_07,MT-7524,1,6,6,1,91.00985,27.2016417,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,1,6,354,91.00985,27.2016417,IND257,1,204,36,G0320,323,302500,3010500,3,2,IND257,TRUE,IND257,IND257
IND258,MT-7509,BRP_PA-01/79,MT-7509,0,1,1,0,89.180478,27.148655,F,consistent_available_calls,F,matched_sex_call,original_pipeline,locations.csv,0,1,355,89.180478,27.148655,IND258,1,23,34,G0289,324,121500,3008500,5,1,IND258,TRUE,IND258,IND258
IND259,MT-7522,BRP_02,MT-7522,0,1,1,0,91.02535167,27.2249783,U,no_sex_call,NA,matched_no_sex_call,original_pipeline,locations.csv,1,2,356,91.02535167,27.2249783,IND259,1,206,38,G0357,325,304500,3012500,4,1,IND259,TRUE,IND259,IND259
NEW001,MT-7055,BRP_FD-01/12,MT-7055,0,1,1,0,89.265745,27.247596,M,consistent_available_calls,M,matched_sex_call,provisional_six_locus_new_group,locations.csv,0,1,357,89.265745,27.247596,NEW001,1,32,45,G0500,326,130500,3019500,8,1,NEW001,TRUE,NEW001,NEW001
NEW003,MT-7085,BRP_FD-03/16,MT-7085,0,1,2,1,89.653866,27.063575,U,no_sex_call,NA,lab_ID_not_in_sexing_file,provisional_six_locus_new_group,locations.csv,0,1,359,89.653866,27.063575,NEW003,1,70,23,G0125,327,168500,2997500,6,1,NEW003,TRUE,NEW003,NEW003
NEW003,MT-7087,BRP_FD-03/18,MT-7087,1,2,2,1,89.503181,27.050708,U,no_sex_call,NA,matched_no_sex_call,provisional_six_locus_new_group,locations.csv,1,2,360,89.503181,27.050708,NEW003,1,55,22,G0088,328,153500,2996500,6,2,NEW003,TRUE,NEW003,NEW003
NEW004,MT-7135,BRP_FD-05/26,MT-7135,0,1,1,0,89.741647,27.496581,F,consistent_available_calls,F,matched_sex_call,provisional_six_locus_new_group,locations.csv,0,1,361,89.741647,27.496581,NEW004,1,80,71,G1060,329,178500,3045500,3,1,NEW004,TRUE,NEW004,NEW004
NEW005,MT-7147,BRP_FD-05/38,MT-7147,0,1,1,0,90.22266,27.51513,F,consistent_available_calls,F,matched_sex_call,provisional_six_locus_new_group,locations.csv,0,1,362,90.22266,27.51513,NEW005,1,127,72,G1096,330,225500,3046500,3,1,NEW005,TRUE,NEW005,NEW005
NEW006,MT-7173,BRP_FD-06/21,MT-7173,0,1,1,0,89.824973,27.113677,M,consistent_available_calls,M,matched_sex_call,provisional_six_locus_new_group,locations.csv,0,1,363,89.824973,27.113677,NEW006,1,87,29,G0206,331,185500,3003500,1,1,NEW006,TRUE,NEW006,NEW006
NEW007,MT-7226,BRP_FD-10/14,MT-7226,0,1,2,1,91.7931783,27.103491000000002,M,consistent_available_calls,NA,lab_ID_not_in_sexing_file,provisional_six_locus_new_group,locations.csv,0,1,364,91.7931783,27.103490999999998,NEW007,1,282,24,G0147,332,380500,2998500,8,1,NEW007,TRUE,NEW007,NEW007
NEW007,MT-7227,BRP_FD-10/15,MT-7227,1,2,2,1,91.61371,27.26201,M,consistent_available_calls,M,matched_sex_call,provisional_six_locus_new_group,locations.csv,1,2,365,91.61371,27.26201,NEW007,1,264,42,G0442,333,362500,3016500,6,2,NEW007,TRUE,NEW007,NEW007
NEW008,MT-7298,BRP_PA-01/43,MT-7298,0,1,2,1,89.215248,27.212079,F,consistent_available_calls,NA,lab_ID_not_in_sexing_file,provisional_six_locus_new_group,locations.csv,0,1,366,89.215248,27.212079,NEW008,1,27,41,G0421,334,125500,3015500,5,1,NEW008,TRUE,NEW008,NEW008
NEW008,MT-7301,BRP_PA-01/46,MT-7301,1,2,2,1,89.286999,27.204464,F,consistent_available_calls,F,matched_sex_call,provisional_six_locus_new_group,locations.csv,1,2,367,89.286999,27.204464,NEW008,1,34,40,G0405,335,132500,3014500,1,1,NEW008,TRUE,NEW008,NEW008
