"camstn","elevation_m"
"GD_043",3263.22728258313
"GD_044",1714.61888370152
"GD_045",2801.58154549412
"GD_046",2315.63475958497
"GD_047",2316.13768425184
"GD_048",2293.97151065618
"GD_049",457.331618905972
"GD_050",1691.07894944163
"GD_051",2185.57699215123
"GD_052",1854.83924407661
"GD_053",1364.44634571075
"GD_054",2363.97218776349
"GD_055",1518.23280956133
"GD_056",1278.18942711063
"GD_057",1944.76722074072
"GD_058",607.496029993754
"JDNP_001",3502.37614412683
"JDNP_002",3312.53670115797
"JDNP_003",3427.39654263614
"JDNP_004",3955.86765140981
"JDNP_005",2829.19484014082
"JDNP_006",3464.7150969525
"JDNP_007",3362.01947401893
"JDNP_008",3886.09499422239
"JDNP_009",2853.95707284879
"JDNP_010",3784.34505109503
"JDNP_011",2963.72698813302
"JDNP_012",4017.91308595017
"JDNP_013",3854.23133822653
"JDNP_014",3535.94546417791
"JDNP_015",2602.31229232223
"JDNP_016",3586.09625363097
"JDNP_017",3846.3310955137
"JDNP_018",3468.9140890611
"JDNP_019",3762.3108962282
"JDNP_020",3641.33892819782
"JDNP_021",2780.31087052114
"JDNP_022",2854.35364165957
"JDNP_023",2547.10831520975
"JDNP_024",2433.33570611367
"JDNP_025",2742.41428589089
"JDNP_026",3245.14856326252
"JDNP_027",2902.18069766848
"JDNP_028",3508.86872096786
"JDNP_029",2316.74549716418
"JDNP_030",1915.01353688291
"JDNP_031",2500.62088810174
"JDNP_032",2285.42248553229
"JDNP_033",3263.89529911697
"JDNP_034",2260.18232655811
"JDNP_035",2439.37584076978
"JDNP_036",3365.4362385346
"JDNP_037",2471.81355426717
"JDNP_038",3596.72737755058
"JDNP_039",3713.56448845434
"JDNP_040",2252.32729868665
"JDNP_041",2301.65234381693
"JDNP_042",3423.04571435432
"JDNP_043",2767.39721098021
"JDNP_044",3757.9874450664
"JDNP_045",3797.32378935199
"JDNP_046",3801.69752312662
"JDNP_047",2335.93141800013
"JDNP_048",3419.35872632294
"JDNP_049",2319.64955304787
"JDNP_050",2192.37242669131
"JDNP_051",1668.88636933408
"JDNP_052",2536.98457904491
"JDNP_053",3110.75426762056
"JDNP_054",1656.86395861465
"JDNP_055",2084.40092016677
"JDNP_056",2290.0366106504
"JKSNR_001",3604.86499844001
"JKSNR_002",2930.28294462013
"JKSNR_003",2841.26275869466
"JKSNR_004",2128.81208123419
"JKSNR_006",2633.07925165456
"JKSNR_007",3779.16744894528
"JKSNR_008",3956.01296917771
"JKSNR_009",3224.07054067859
"JKSNR_010",2626.79375602737
"JKSNR_011",3861.57529827676
"JKSNR_012",2074.07106107357
"JKSNR_013",3209.3243096174
"JKSNR_014",2912.16797172572
"JKSNR_015",2629.245779277
"JKSNR_016",4051.57483617452
"JKSNR_017",3748.78781119143
"JKSNR_018",2535.1394190114
"JKSNR_019",1998.0772329301
"JKSNR_020",1797.1560605451
"JKSNR_021",2415.38049570397
"JKSNR_022",2185.15421370986
"JKSNR_023",2991.05225827324
"JKSNR_024",2851.10852859999
"JKSNR_025",1848.98433239641
"JKSNR_026",3476.79142896702
"JKSNR_027",2988.49236143077
"JKSNR_028",3130.89135313783
"JKSNR_029",2568.80331422262
"JSWNP_001",1667.1187959578
"JSWNP_002",1006.67494999541
"JSWNP_003",2061.96932818979
"JSWNP_004",2231.05106488462
"JSWNP_005",1803.78654018015
"JSWNP_006",2263.55505794139
"JSWNP_007",2533.83030912411
"JSWNP_008",2900.16453856201
"JSWNP_009",3263.58131612764
"JSWNP_010",1913.45474619651
"JSWNP_011",2042.84481738963
"JSWNP_012",3712.90296556167
"JSWNP_013",3371.14553251463
"JSWNP_014",2262.89616839551
"JSWNP_015",3794.13474882127
"JSWNP_016",2967.84341999356
"JSWNP_017",2177.71533008333
"JSWNP_018",3374.09985343625
"JSWNP_019",3054.61389855081
"JSWNP_020",3810.7047608824
"JSWNP_021",4036.21678247809
"JSWNP_022",3263.01421023905
"JSWNP_023",2293.99088948972
"JSWNP_024",3031.52791572267
"JSWNP_025",3723.12727533473
"JSWNP_026",4041.55047189851
"JSWNP_027",2666.74545215836
"JSWNP_028",2458.07301207548
"JSWNP_029",4227.05223446905
"JSWNP_030",2616.15032613671
"JSWNP_031",1960.98373358349
"JSWNP_032",1785.856493316
"JSWNP_034",3782.59187113846
"JSWNP_035",2296.14077650817
"JSWNP_036",2045.89159931541
"JSWNP_037",2137.98639214861
"JSWNP_038",1582.33846802264
"JSWNP_039",2505.49486777115
"JSWNP_040",2460.54386756858
"JSWNP_041",2205.78028310768
"JSWNP_042",1750.08231908178
"JSWNP_043",2153.81818868242
"JSWNP_044",2050.91068243914
"JSWNP_045",2191.15399907282
"JSWNP_046",2325.93281120463
"JSWNP_047",1611.05977616171
"JSWNP_048",1837.11115092799
"JSWNP_049",1917.92459856482
"JSWNP_050",2379.45944518051
"JSWNP_051",1821.81449871629
"JSWNP_052",2271.32916750993
"JSWNP_053",2387.01854641354
"JSWNP_054",2275.55691035155
"JSWNP_055",1489.87538127019
"JSWNP_056",2159.34462908161
"JSWNP_057",1460.04725966177
"JSWNP_058",1462.06586947758
"JSWNP_059",2009.03678193265
"JSWNP_060",1785.49910504187
"JSWNP_061",1873.50972132906
"JSWNP_062",1989.63203904154
"JSWNP_063",1382.02112791279
"JSWNP_064",907.679734136578
"JSWNP_065",2242.41911296082
"JWS_001",542.317603108859
"JWS_002",1150.21001063085
"JWS_003",588.005030483292
"JWS_004",397.570868375966
"JWS_005",2321.01011326859
"JWS_006",1209.78422693828
"JWS_007",255.524009079221
"JWS_008",1806.91014491795
"JWS_009",2437.15018106006
"JWS_010",284.210170867397
"JWS_011",1050.07084023664
"JWS_012",1756.03556662052
"JWS_013",432.103381547561
"JWS_014",1849.02349601917
"JWS_015",436.407434888446
"JWS_016",1751.79575802921
"JWS_017",617.199023321574
"JWS_018",1805.26412765139
"JWS_019",991.446770070496
"JWS_020",2195.88051939135
"JWS_021",544.674795564181
"JWS_022",2570.53522524333
"JWS_023",895.925806284225
"JWS_024",3071.41347728706
"JWS_025",2457.5569667995
"JWS_026",1805.58068007661
"JWS_027",662.970929706186
"JWS_028",2332.46016473479
"JWS_029",1948.19670862829
"JWS_030",828.428008347094
"JWS_031",571.354101592135
"JWS_032",1843.9403300711
"JWS_033",2126.05117165682
"JWS_034",1614.51411230468
"JWS_035",2493.01823473072
"JWS_036",2206.11363371979
"JWS_037",2103.47420591028
"JWS_038",1803.17964737608
"JWS_039",574.119473712732
"JWS_040",2382.75386000244
"JWS_041",951.931829318907
"JWS_042",591.16968979364
"JWS_043",1731.71305844979
"JWS_044",2103.51633917935
"JWS_045",1732.12012677583
"JWS_046",1902.6540597117
"JWS_047",2660.30644169261
"JWS_048",828.536990144377
"JWS_049",524.174176548725
"JWS_050",1690.03069429104
"JWS_051",295.403412918027
"JWS_052",2750.46338094515
"JWS_053",1052.05285543322
"JWS_054",2159.7081254561
"JWS_055",439.599496445822
"JWS_056",2448.36392652719
"JWS_057",1754.74357257285
"JWS_058",776.717279581749
"JWS_059",613.50015182314
"JWS_060",995.086131302662
"JWS_061",1894.09438463337
"JWS_062",478.597799620824
"JWS_063",651.145253283419
"JWS_064",1004.07530496035
"MD_001",2613.20338602784
"MD_003",2627.51215912517
"MD_004",2462.39289558155
"MD_005",2568.74411744599
"MD_006",1595.03198802738
"MD_007",2510.162796206
"MD_008",2926.10474181139
"MD_009",2511.21142890397
"MD_010",3032.81018298882
"MD_011",2236.77307419127
"MD_012",2428.72202503213
"MD_013",1753.48908479768
"MD_014",1137.70504380621
"MD_015",2452.93945028551
"MD_016",1399.92674825406
"MD_017",3011.33620134752
"MD_018",1682.74655839852
"MD_019",1368.22422419479
"MD_020",2635.88966022838
"MD_021",1124.48886271289
"MD_022",2605.08214273852
"MD_023",1650.59364145904
"MD_024",2799.87002517236
"MD_025",1625.42683316176
"MD_026",1450.32400404313
"MD_027",965.955609794673
"MD_028",1050.81250446433
"MD_029",1156.90204536366
"MD_030",832.257875414223
"MD_031",953.387988453297
"MD_032",1477.71810575541
"MD_033",1438.71353914927
"MD_034",952.819109834033
"MD_035",2871.1635568082
"MD_036",990.401401220212
"MD_037",1269.27641501336
"MD_038",2397.14103178549
"MD_039",2511.65568758476
"MD_040",2449.31820624831
"MD_041",2079.17072187639
"MD_042",994.571464418154
"MD_043",2727.92024978512
"MD_044",2788.56780454668
"MD_045",2175.58947365184
"MD_046",3458.13606050709
"MD_047",1937.79614830783
"MD_048",3126.66242204383
"MD_049",526.812234459027
